Astronomy & Astrophysics Building,AB
Enrolment Services,AD
Muzzo Family Alumni Hall,AH
Annesley Hall,AN
Anthropology Building,AP
Bahen Centre for Information Technology,BA
Birge-Carnegie Library,BC
Bancroft Building,BF
Founders House,BH
Banting Institute,BI
Back Campus Fields,BK
Claude T. Bissell Building,BL
Clara Benson Building,BN
Brennan Hall,BR
St. Basil's Church,BS
Isabel Bader Theatre,BT
Burwash Hall,BW
30 Charles Street West,C1
35 Charles Street West,C2
370 Huron Street,CA
Cardinal Flahiff Basilian Centre,CF
Canadiana Gallery,CG
Convocation Hall,CH
Chestnut Residence,CN
162 St. George Street,CO
North West Chiller Plant,CP
Carr Hall,CR
School of Continuing Studies,CS
Cumberland House,CU
229 College Street,CZ
1 Spadina Crescent,DA
Terrence Donnelly Centre for Cellular and Biomolecular Research,DC
Dentistry Building,DN
J. Robert S. Prichard Alumni House,DR
Engineering Annex,EA
Elmsley Hall,EH
Edward Johnson Building,EJ
Emmanuel College,EM
Stewart Building,EP
Early Learning Centre,ER
Earth Sciences Centre,ES
Exam Centre,EX
Faculty Club,FC
720 Spadina Avenue,FE
University of Toronto Schools(371 Bloor Street West),FE
FitzGerald Building,FG
Falconer Hall,FH
Fields Institute for Research in Math Science,FI
Fisher House,FS
Gage Building,GA
Galbraith Building,GB
Goldring Student Centre,GC
Graduate House,GD
Max Gluskin House,GE
Gilson House,GH
George Ignatieff Theatre,GI
Luella Massey Studio Theatre,GM
Goldring Centre for High Performance Sport,GO
Graham Library,GR
School of Graduate Studies,GS
Graduate Students' Union,GU
Haultain Building,HA
Maritain House,HF
Hart House,HH
St. Hilda's College,HI
Health Sciences Building,HS
215 Huron Street,HU
703 Spadina Avenue,IA
Innis College,IN
121 St. George Street,IR
Innis College Student Residence,IS
Jackman Humanities Building,JH
90 Wellesley Street West,JP
John M. Kelly Library,KL
Koffler House,KP
Koffler Student Services Centre,KS
Knox College,KX
Gerald Larkin Building,LA
Loretto College,LC
Fasken Martineau Building,LG
E.J. Pratt Library,LH
Lillian Massey Building,LI
Lash Miller Chemical Laboratories,LM
Flavelle House,LW
Jackman Law Building,LW
Massey College,MA
Lassonde Mining Building,MB
Mechanical Engineering Building,MC
Margaret Addison Hall,MG
More House,MH
Munk School for Global Affairs at the Observatory,MK
39 Queen's Park Cres East (Sir W.T. White House),ML
Macdonald-Mowat House,MM
Morrison Hall,MO
McLennan Physical Laboratories,MP
McMurrich Building,MR
Medical Sciences Building,MS
Munk School of Global Affairs & Public Policy at Trinity,MU
Myhal Centre for Engineering Innovation & Entrepreneurship,MY
McCorkell House,MZ
97 St. George Street,NB
Northrop Frye Hall,NF
C. David Naylor Building,NL
New College (III) Residence,NR
263 McCaul Street,OA
Odette (Louis) Hall,OH
Ontario Institute for Studies in Education,OI
Leslie L. Dan Pharmacy Building,PB
Physical Geography Building (45 St. George Street),PG
Phelan House,PH
59 Queen's Park Cres East,PI
D.L. Pratt Building,PT
Thomas Fisher Rare Book Library,RB
Regis College,RG
Rowell Jackman Hall,RJ
Robarts Library,RL
254-256 McCaul Street,RM
Rosebrugh Building,RS
Rotman School of Management,RT
Rehabilitation Sciences Building,RU
Ramsay Wright Laboratories,RW
Borden Building,SB
Sussex Court,SC
Sir Daniel Wilson Residence,SD
Sandford Fleming Building,SF
Simcoe Hall,SI
246 Bloor Street West,SK
Gerstein Science Information Centre,SM
Stephenson House,SN/LH
Louis B. Stewart Observatory,SO
Sam Sorbara Hall,SR
Sidney Smith Hall,SS
Central Steam Plant,ST
Student Commons,SU
Sullivan House,SV
40 Sussex Avenue,SX
Schwartz Reisman Innovation Centre[13],SZ
Trinity College,TC
Teefy Hall,TF
Toronto School of Theology,TH
Soldiers' Tower,TR
455 Spadina Avenue,TT
Burwash Residence,UB
University College,UC
University College Union,UP
700 University Avenue,UY
Varsity Centre,VA
Victoria College,VC
Varsity Pavilion,VP
Transitional Year Programme (123 St. George Street),WA
Wallberg Building,WB
Wetmore Hall,WE
Wilson Hall,WI
Windle House,WN
Woodsworth College Residence,WO
Dr. Eric Jackman Institute of Child Study,WR
Warren Stevens Building,WS
Whitney Hall,WT
Woodsworth College,WW
Wycliffe College,WY
665 Spadina Avenue,XG
88 College Street,ZC
Spadina Sussex Student Residence[14],SP
Varsity Arena,VR
